N°;Fecha;Medida;Actores;Lugar;Demanda
73;11/06/2025;Plantón;"Sindicato      Unitario      de Trabajadores Administrativos de Centros Educativos       del       Perú (Sutace)              provincial
Requena";Iquitos, Maynas, Loreto;Exigen al Gobierno Regional de Loreto la habilitación de plazas laborales
74;11/06/2025;Plantón;Sindicato Magisterial;Castilla, Piura, Piura;"Exigen a la Unidad de Gestión Educativa   de   Piura   (UGEL) Piura la reposición de docentes que   habrían   sido   separados
arbitrariamente,               según denuncian"
75;11/06/2025;Concentración;Colectivos  defensores  de animales;Los Olivos, Lima Metropolitana;Exigen justicia por el presunto envenenamiento de gatos
76;11/06/2025;Plantón;Sindicato  de  Trabajadores de Quimpac;Huacho, Huaura, Lima Provincias;"Exigen    mejores    condiciones laborales,    aumento    salarial, incremento de beneficios, entre
otros"
77;11/06/2025;Plantón;Vecinos  de  la  Asociación Ciudad de Paz;"Coronel Gregorio Albarracín
Lanchipa, Tacna, Tacna";Rechazan la instalación de una antena de telefonía en la zona por    parte    de    la    empresa Torrejón
78;11/06/2025;Marcha;Comerciantes del Mercado Mayorista    Pesquero    de Tacna;Tacna, Tacna;"Rechazan  presunto  abuso  de autoridad  de  la  Municipalidad Provincial de Tacna respecto a al     libre     comercio,     según
denuncian"
79;11/06/2025;Marcha;Padres de familia de la I.E. Wilfredo Zegarra Sandoval;Jepelacio, Moyobamba, San Martín;"Exigen    a    la    Municipalidad Distrital     de     Jepelacio     la construcción de obra del centro
educativo"
80;11/06/2025;Marcha;Asociación             “Unidos Construiremos   un   Nuevo Tumán”;Tumán, Chiclayo, Lambayeque;"Exigen la destitución del fiscal adjunto de la Fiscalía contra el crimen         organizado         de
Lambayeque y celeridad en las"
;;;;;"carpetas    fiscales    del    caso
“Wachiturros”."
81;11/06/2025;Marcha;Trabajadores  del  Hospital de Contingencia Manantay;Manantay, Ucayali, Ucayali;"Denuncian  deficiencias  en  el
funcionamiento del Hospital de Contingencia de Manantay."
82;12/06/2025;Plantón;"Maestros    Cesantes    del Perú    (MACEP)    -    Lima Metropolitana de UGEL 03
y  04,  Maestros  Cesantes del Perú (MACEP) - Pasco";Cercado de Lima, Lima Metropolitana;Exigen   al   Congreso   de   la República   la   aprobación   del incremento  de  pensiones  y  el pago de la deuda social
83;12/06/2025;Concentración;Maestros    Cesantes    del Perú (MACEP) - Huancayo;Huancayo, Huancayo, Junín;Exigen   al   Congreso   de   la República   la   aprobación   del incremento  de  pensiones  y  el pago de la deuda social
84;12/06/2025;Marcha;Asociación    Regional    de Cesantes  y  Jubilados  de Educación de Arequipa;Arequipa, Arequipa;"Exigen   al   Congreso   de   la República   la   aprobación   del incremento  de  pensiones  y  el
pago de la deuda social"
85;12/06/2025;Marcha;"Asociación   Provincial   de Cesantes  y  Jubilados  en Educación                      de
Chumbivilcas";Santo Tomás, Chumbivilcas, Cusco;"Exigen   al   Congreso   de   la República   la   aprobación   del Proyecto    de    Ley    n°    3864 mediante  el  que  se  propone nivelar     las     pensiones     de docentes    cesantes    con    la primera  escala  del  Magisterio. Asimismo, exigen el pago de la deuda  social  de  los  docentes
cesantes     y     jubilados     de Educación"
86;12/06/2025;Concentración;Asociación    Regional    de Cesantes  y  Jubilados  de Educación Cajamarca;Cajamarca, Cajamarca;"Exigen   al   Congreso   de   la República   la   aprobación   del proyecto de ley mediante el que se      propone      nivelar      las pensiones        de       docentes cesantes con la primera escala del     Magisterio.      Asimismo, exigen  el  pago  de  la  deuda social de los docentes cesantes
y jubilados de Educación"
